Iteration = 1, lambda_hat = 1, tau_hat = 0.01, max_marginal_log_likelihood = -125.46
Iteration = 2, lambda_hat = 1, tau_hat = 0.0199526231496888, max_marginal_log_likelihood = -124.91
Iteration = 3, lambda_hat = 1, tau_hat = 0.0199526231496888, max_marginal_log_likelihood = -124.67
Iteration = 4, lambda_hat = 1, tau_hat = 0.0199526231496888, max_marginal_log_likelihood = -124.7
Iteration = 5, lambda_hat = 1, tau_hat = 0.0199526231496888, max_marginal_log_likelihood = -124.7
Iteration = 1, lambda_hat = 1, tau_hat = 0.0158489319246111, max_marginal_log_likelihood = -124.24
Iteration = 2, lambda_hat = 1, tau_hat = 0.0199526231496888, max_marginal_log_likelihood = -122.95
Iteration = 3, lambda_hat = 1, tau_hat = 0.0199526231496888, max_marginal_log_likelihood = -122.83
Iteration = 4, lambda_hat = 1, tau_hat = 0.0199526231496888, max_marginal_log_likelihood = -122.86
Iteration = 5, lambda_hat = 1, tau_hat = 0.0199526231496888, max_marginal_log_likelihood = -122.86
Iteration = 1, lambda_hat = 1, tau_hat = 0.0251188643150958, max_marginal_log_likelihood = -125.39
Iteration = 2, lambda_hat = 1, tau_hat = 0.00501187233627272, max_marginal_log_likelihood = -123.02
Iteration = 3, lambda_hat = 1, tau_hat = 0.01, max_marginal_log_likelihood = -123.03
Iteration = 4, lambda_hat = 1, tau_hat = 0.00794328234724282, max_marginal_log_likelihood = -123.03
Iteration = 5, lambda_hat = 1, tau_hat = 0.00794328234724282, max_marginal_log_likelihood = -122.97
Iteration = 1, lambda_hat = 1, tau_hat = 0.0199526231496888, max_marginal_log_likelihood = -125.48
Iteration = 2, lambda_hat = 1, tau_hat = 0.0251188643150958, max_marginal_log_likelihood = -126
Iteration = 3, lambda_hat = 1, tau_hat = 0.0251188643150958, max_marginal_log_likelihood = -126.01
Iteration = 4, lambda_hat = 1, tau_hat = 0.0251188643150958, max_marginal_log_likelihood = -126.01
Iteration = 5, lambda_hat = 1, tau_hat = 0.0251188643150958, max_marginal_log_likelihood = -126.01
Iteration = 1, lambda_hat = 1, tau_hat = 0.00316227766016838, max_marginal_log_likelihood = -124.52
Iteration = 2, lambda_hat = 1, tau_hat = 0.00501187233627272, max_marginal_log_likelihood = -122.3
Iteration = 3, lambda_hat = 1, tau_hat = 0.00630957344480193, max_marginal_log_likelihood = -124
Iteration = 4, lambda_hat = 1, tau_hat = 0.00630957344480193, max_marginal_log_likelihood = -124.39
Iteration = 5, lambda_hat = 1, tau_hat = 0.00630957344480193, max_marginal_log_likelihood = -124.35
Iteration = 1, lambda_hat = 1, tau_hat = 0.00630957344480193, max_marginal_log_likelihood = -124.61
Iteration = 2, lambda_hat = 1, tau_hat = 0.01, max_marginal_log_likelihood = -122.99
Iteration = 3, lambda_hat = 1, tau_hat = 0.01, max_marginal_log_likelihood = -123.14
Iteration = 4, lambda_hat = 1, tau_hat = 0.01, max_marginal_log_likelihood = -123.16
Iteration = 5, lambda_hat = 1, tau_hat = 0.01, max_marginal_log_likelihood = -123.16
